Date,Close
1/02/2019,28.81
1/03/2019,27.99
1/04/2019,29.95
1/07/2019,31.34
1/08/2019,31.8
1/09/2019,32.25
1/10/2019,33.09
1/11/2019,32.87
1/14/2019 ,32.37
1/15/2019 ,33.02
1/16/2019 ,32.47
1/17/2019 ,32.85
1/18/2019 ,33.27
1/22/2019 ,32.25
1/23/2019 ,30.97
1/24/2019 ,31.61
1/25/2019 ,32.9
1/28/2019 ,33.13
1/29/2019 ,31.64
1/30/2019 ,32.26
1/31/2019 ,33.56
2/01/2019,33.19
2/04/2019,33.94
2/05/2019,34.37
2/06/2019,34.16
2/07/2019,30.8
2/08/2019,30.01
2/11/2019,30.23
2/12/2019,30.39
2/13/2019 ,31.12
2/14/2019 ,30.96
2/15/2019 ,31.23
2/19/2019 ,31.65
2/20/2019 ,31.37
2/21/2019 ,30.76
2/22/2019 ,31.71
2/25/2019 ,31.99
2/26/2019 ,31.01
2/27/2019 ,30.41
2/28/2019 ,30.78
3/01/2019,30.62
3/04/2019,30.5
3/05/2019,31.03
3/06/2019,30.8
3/07/2019,30.12
3/08/2019,30.04
3/11/2019,30.87
3/12/2019,31.16
3/13/2019 ,31.3
3/14/2019 ,31.03
3/15/2019 ,31.22
3/18/2019 ,31.08
3/19/2019 ,31.27
3/20/2019 ,32.57
3/21/2019 ,32.61
3/22/2019 ,33.02
3/25/2019 ,32.59
3/26/2019 ,33.06
3/27/2019 ,32.28
3/28/2019 ,32.87
3/29/2019 ,32.88
4/01/2019,33.44
4/02/2019,33.75
4/03/2019,34.38
4/04/2019,34.42
4/05/2019,34.72
4/08/2019,34.86
4/09/2019,35.14
4/10/2019,34.75
4/11/2019,34.58
4/12/2019,34.37
4/15/2019 ,34.71
4/16/2019 ,34.46
4/17/2019 ,34.48
4/18/2019 ,34.4
4/22/2019 ,34.39
4/23/2019 ,39.77
4/24/2019 ,39.29
4/25/2019 ,38.48
4/26/2019 ,38.67
4/29/2019 ,39.78
4/30/2019 ,39.91
5/01/2019,39.29
5/02/2019,39.95
5/03/2019,40.8
5/06/2019,40.23
5/07/2019,38.62
5/08/2019,38.58
5/09/2019,38.79
5/10/2019,38.45
5/13/2019 ,36.59
5/14/2019 ,36.93
5/15/2019 ,37.9
5/16/2019 ,38.3
5/17/2019 ,37.5
5/20/2019 ,37.15
5/21/2019 ,37.47
5/22/2019 ,38.58
5/23/2019 ,37.19
5/24/2019 ,37.41
